*****01010 mvkl
*****01010 mvkh
*****11010 mvkh
****001111 stb(15)
****010111 sth（15）
****011111 stw(15)
****100010 set
****101111 stb(15)
****110111 sth（15）
****111111 stw(15)
***0010101 sth（5）
***0110101 sth（5）
1100011000 SHL
1100011100 SADDSU2
1100011100 SADDUS2
1100011101 stw(5)
1100011110 NORM
1100100000 MPY
1100100110 DSSUB2
1100100110 SSUB2
1100101000 SHL
1100101100 SPACK2
1100101101 stb(5)
1100101110 ADD4
1100110000 DSHL
1100110000 SUBAW
1100110110 SUB4
1100111000 DSHL
1100111000 SHL
1100111100 DMVD
1100111100 SADDU4
1100111101 stw(5)
1100111110 DSSUB
1101000000 QSMPY32R1
1101000000 SMPY
1101000110 DPACKL4
1101000110 PACKL4
1101001100 DSPACKU4
1101001100 SPACKU4
1101001110 DPACKH4
1101001110 PACKH4
1101010000 ADDAW
1101010001 stdw
1101010101 stnw
1101010110 DPACKLH4
1101010110 LMBD
1101011100 SUB
1101011101 stndw
1101011110 LMBD
1101100000 MPYSU
1101100110 DMV
1101100110 DMVD
1101101000 DSHR
1101101100 ANDN
1101110000 SUBAW
1101110001 stdw
1101110101 stnw
1101110110 NOT
1101110110 XOR
1101110110 XOR
1101111000 DSHR
1101111100 DSHR2
1101111101 stndw
1101111110 XOR
1101111110 XOR
1110000000 DMPYSP
1110000000 MPYSP
1110000110 ADDSP
1110001000 CMPEQSP
1110001100 DSHRU2
1110001100 SHRU2
1110001101 stb(5)
1110001110 SUBSP
1110010000 ADDAD
1110010110 ADDDP
1110011000 CMPGTSP
1110011101 stw(5)
1110011110 SUBDP
1110100000 MPYUS
1110100000 QMPYSP
1110100110 FADDSP
1110101000 CMPLTSP
1110101101 stb(5)
1110101110 SUBSP
1110110000 ADDAD
1110110110 FSUBSP
1110111100 DMV
1110111100 RPACK2
1110111101 stw(5)
1110111110 SUBDP
1111000000 CMPYSP
1111000000 MPYSU
1111000110 LAND
1111001000 ABSSP
1111001000 DINTHSP
1111001000 DINTSP
1111001000 DINTHSPU
1111001000 DINTSPU
1111001000 DSPINT
1111001000 DSPINTH
1111001000 SPINT
1111001000 UNPKBU4
1111001000 UNPKH2
1111001000 UNPKHU2
1111001000 UNPKHU4
1111001000 UNPKLU4
1111001100 MIN2
1111001110 LANDN
1111010001 stdw
1111010101 stnw
1111010110 AND
1111011000 RCPSP
1111011100 MAX2
1111011101 stndw
1111011110 AND
1111011110 AND
1111100000 MPYU
1111100110 ANDN
1111101000 RSQRSP
1111101100 FSUBDP
1111101110 LOR
1111110001 stdw
1111110101 stnw
1111110110 MV
1111110110 OR
1111111000 CLR
1111111100 DPACKL2
1111111100 PACK2
1111111101 stndw
1111111110 OR
